crioulo,IPA
Humiliação,umiliasaːo
Hypocritico,jpokɾitiko
Aiç,ais
Idade,idade
Idóla,idoːla
Idolateiro,idolateiɾo
idoloteiro,idoloteiɾo
Ilharga-ferido,iʎaɾga feɾido
Ilya,ilja
Ilyarga,iljaɾga
Imajo,imad̠ʒo
Immudança,imudansa
Impioso,impiozo
Importado,impoɾtado
Importança,impoɾtansa
Importadomente,impoɾtadomente
Impressà,impɾesaː
Impressado,impɾesado
Impressador,impɾesadoɾ
Impuridade,impuɾidade
Incensà,insensaː
Incenseiro,insenseiɾo
incenséro,insenseːɾo
Incredivel,inkɾediʋel
Indè,indeː
Indulgéncè,induld̠ʒeːnseː
Ingratidade,ingɾatidade
Inimingo,inimingo
inemingo,inemingo
Inexpressavel,ineʃpɾesaʋel
Infruitoso,infɾuitozo
Ingres,ingɾes
Inimizade,inimizade
Injoelho,ind̠ʒoeʎo
injivelho,ind̠ʒiʋeʎo
injevejo,ind̠ʒeʋed̠ʒo
injivejo,ind̠ʒiʋed̠ʒo
Insincero,insinseɾo
Institutà,institutaː
Instruição,instɾuisaːo
Inténcia,inteːnsia
inténci,inteːnsi
Intercessà,inteɾsesaː
Intergridade,inteɾgɾidade
Internal,inteɾnal
Intrudição,intɾudisaːo
Inveijo,inʋeid̠ʒo
Iremão,iɾemaːo
Irès,iɾeːs
Irmana,iɾmana
Iscóchi,iskoːt̠ʃi
Ispirito,ispiɾito
Istôri,istoːɾi
Jà,d̠ʒaː
Jadàwe,d̠ʒadaːʋe
Jagra,d̠ʒagɾa
Jam,d̠ʒam
January,d̠ʒanuaɾj
Jar,d̠ʒaɾ
Jarès,d̠ʒaɾeːs
Jàsper,d̠ʒaːspeɾ
Jásper-mar,d̠ʒaːspeɾ maɾ
Javi,d̠ʒaʋi
javitem,d̠ʒaʋitem
Javiran,d̠ʒaʋiɾan
Jin,d̠ʒin
Jinjúa,d̠ʒind̠ʒuːa
jinúa,d̠ʒinuːa
jinjunação,d̠ʒind̠ʒunasaːo
Jinjuá,d̠ʒind̠ʒuaː
Jornado,d̠ʒoɾnado
Jubilee,d̠ʒubilee
Judá,d̠ʒudaː
judè,d̠ʒudeː
judança,d̠ʒudansa
Judá,d̠ʒudaː
judai,d̠ʒudai
Judador,d̠ʒudadoɾ
judedor,d̠ʒudedoɾ
Jadj,d̠ʒad̠ʒ
Jufrau,d̠ʒufɾau
Julgação,d̠ʒulgasaːo
Julgador,d̠ʒulgadoɾ
Julai,d̠ʒulai
Jumbà,d̠ʒumbaː
Jumbador,d̠ʒumbadoɾ
Jiun,d̠ʒiun
Juntação,d̠ʒuntasaːo
Juntado,d̠ʒuntado
Junto-herdeiro,d̠ʒunto eɾdeiɾo
Junto-obrador,d̠ʒunto obɾadoɾ
Junto-peditóris,d̠ʒunto peditoːɾis
Junto-servidor,d̠ʒunto seɾʋidoɾ
Jurar,d̠ʒuɾaɾ
Justá,d̠ʒustaː
Justado,d̠ʒustado
Justamento,d̠ʒustamento
Justicia,d̠ʒustisia
Justo,d̠ʒusto
Kokeira,kokeiɾa
Labóra,laboːɾa
Lacerdo,laseɾdo
Lacrá,lakɾaː
Laderan,ladeɾan
Ladinha,ladiɲa
Ladroviça,ladɾoʋisa
ladraviça,ladɾaʋisa
ladravicè,ladɾaʋiseː
ladrivicè,ladɾiʋiseː
ladervisa,ladeɾʋiza
Lagárè,lagaːɾeː
Lágri,laːgɾi
láguir,laːd̠ʒiɾ
Lambrança,lambɾansa
Lemp,lemp
Lampo,lampo
Lantá,lantaː
Lanterno,lanteɾno
Lão,laːo
Lapiá,lapiaː
Lasta,lasta
lastè,lasteː
Lastimo,lastimo
Lastro,lastɾo
lástor,laːstoɾ
Laviação,laʋiasaːo
Lavração,laʋɾasaːo
Lé,leː
Lego,lego
leagou,leagou
Legislatà,led̠ʒizlataː
Lei,lei
Leido,leido
Lejado,led̠ʒado
Lembrá,lembɾaː
Léper,leːpeɾ
leprosa,lepɾoza
Lés,leːs
lez,les
leis,leis
Lés,leːs
Leste,leste
lestes,lestes
Lestemente,lestemente
Léte,leːte
Létar,leːtaɾ
létera,leːteɾa
letra,letɾa
Levadura,leʋaduɾa
Leve,leʋe
Levedação,leʋedasaːo
levedado,leʋedado
Leventà,leʋentaː
Lichim,lit̠ʃim
Limita,limita
limito,limito
Lingareiro,lingaɾeiɾo
lingerero,lind̠ʒeɾeɾo
Lingo,lingo
Linguerção,lind̠ʒeɾsaːo
lingersan,lind̠ʒeɾsan
linguarçan,linguaɾsan
Linhos,liɲos
Liverdade,liʋeɾdade
livradade,liʋɾadade
Livrança,liʋɾansa
livrancè,liʋɾanseː
livração,liʋɾasaːo
Ló,loː
Lodia,lodia
Lodo,lodo
Logarmésmo,logaɾmeːzmo
Loiros,lojɾos
Loità,lojtaː
Loitamento,lojtamento
loitança,lojtansa
Loser,lozeɾ
Louvro,louʋɾo
Lovà,loʋaː
Lugàra,lugaːɾa
Iugàrè,iugaːɾeː
Iugària,iugaːɾia
Lugar-gosto,lugaɾ gosto
Luguéra,lud̠ʒeːɾa
Luma,luma
Lumár,lumaːɾ
lumára,lumaːɾa
lumaré,lumaɾeː
Lumado,lumado
Lumià,lumiaː
Luminário,luminaːɾio
luminairo,luminaiɾo
lum'nario,lumənaɾio
Luzé,luzeː
Luzindo,luzindo
Maas,mas
Mação,masaːo
Macéo,maseːo
Machicá,mat̠ʃikaː
Mexin,meʃin
Macho-criancè,mat̠ʃo kɾianseː
Màdam,maːdam
Madergà,madeɾgaː
Mademá,mademaː
Mafatría,mafatɾiːa
Magovà,magoʋaː
maguvà,maguʋaː
Mai,mai
Mainato,mainato
Maisdiante,maizdiante
Maisque,maiske
masque,maske
Majestado,mad̠ʒestado
Major,mad̠ʒoɾ
Mal,mal
Maldiçansa,maldisansa
Maldiçoà,maldisoaː
maldiçà,maldisaː
Malfetor,malfetoɾ
Malino,malino
Mal-prestado,mal pɾestado
Malusancia,maluzansia
Mamma,mama
ma,ma
Man,man
Man',manə
Mandemento,mandemento
Manduco,manduko
Mangue,mand̠ʒe
Manhão,maɲaːo
Ment'l,mentəl
Manhecé,maɲeseː
manecê,maneseː
Manéja,maneːd̠ʒa
manejador,maned̠ʒadoɾ
Mão-em-mão,maːo em maːo
Mép,meːp
Mará,maɾaː
marrá,maraː
Marado,maɾado
Maradura,maɾaduɾa
Mára,maːɾa
marè,maɾeː
Martch,maɾt̠ʃ
Marello,maɾelo
Marga,maɾga
Margôra,maɾgoːɾa
Margoso,maɾgozo
Márgu,maːɾgu
Mármor,maːɾmoɾ
màrmar,maːɾmaɾ
Martellè,maɾteleː
martél,maɾteːl
Mártyro,maːɾtjɾo
Marvia,maɾʋia
Marvioso,maɾʋiozo
Marvilha,maɾʋiʎa
Marvilhà,maɾʋiʎaː
Más,maːs
Masante,mazante
Mascomtudo,maskomtudo
Masdiante,mazdiante
Maçabado,masabado
Maslins,mazlins
Massà,masaː
Massavo,masaʋo
Mástri,maːstɾi
Masvinho,masʋiɲo
Matação,matasaːo
matança,matansa
Matches,mat̠ʃes
Mate,mate
Matinha,matiɲa
Métres,meːtɾes
Mêi,meːj
Medè,medeː
Media,media
Miting,miting
Megoà,megoaː
melgoá,melgoaː
MeGoa creoledor,megoa kɾeoledoɾ
Meido,meido
Melhoramente,meʎoɾamente
Mellifluoso,melifluozo
Memo,memo
Memoso,memozo
Mentè,menteː
Méo,meːo
Mercacia,meɾkasia
Mercadeira,meɾkadeiɾa
Mercê,meɾseː
Mercemento,meɾsemento
mercimento,meɾsimento
mericemento,meɾisemento
Merecê,meɾeseː
Meritória,meɾitoːɾia
Merón,meɾoːn
Mès,meːs
méis,meːjs
Més,meːs
Méssa,meːsa
Messá,mesaː
Messangeiro,mesand̠ʒeiɾo
massengeiro,masend̠ʒeiɾo
Mestre,mestɾe
méstri,meːstɾi
Metade,metade
metai,metai
Methodisto,metodisto
Milagrioso,milagɾiozo
Mail,mail
Militàrio,militaːɾio
Millions,milions
Mils,mils
Mimôri,mimoːɾi
Minguação,minguasaːo
Minha,miɲa
minhè,miɲeː
Ministeiro,ministeiɾo
Ministração,ministɾasaːo
Minté,minteː
Minteira,minteiɾa
Minteroso,minteɾozo
mintroso,mintɾozo
Minuito,minuito
Mira,miɾa
Misaravel,mizaɾaʋel
misravel,mizɾaʋel
Misinha,miziɲa
Misricordia,mizɾikoɾdia
misrecordia,mizɾekoɾdia
Misricordioso,mizɾikoɾdiozo
Misté,misteː
mista,mista
Mistia,mistia
Mistem,mistem
Mistrá,mistɾaː
Moça,mosa
Moção,mosaːo
Mofiná,mofinaː
Moito,mojto
Moleira,moleiɾa
Molgá,molgaː
Molyà,moljaː
Molya,molja
mujà,mud̠ʒaː
Mónster,moːnsteɾ
Montanho,montaɲo
Mooi,mooj
Moradè,moɾadeː
morado,moɾado
morando,moɾando
morança,moɾansa
moradura,moɾaduɾa
Morra,mora
Morrendo,morendo
Morro,moro
Mortajo,moɾtad̠ʒo
Mortià,moɾtiaː
Mostárdè,mostaːɾdeː
Mourdé,mouɾdeː
Mourdindo,mouɾdindo
Movà,moʋaː
Muê,mueː
muá,muaː
Mudana,mudana
Mudáncè,mudaːnseː
mudação,mudasaːo
Mudano,mudano
Mulhàra,muʎaːɾa
Mulvado,mulʋado
Mundado,mundado
Mundoso,mundozo
Murguiá,muɾd̠ʒiaː
Murguiaçâo,muɾd̠ʒiasaːo
Murindo,muɾindo
Murmerà,muɾmeɾaː
Murmeração,muɾmeɾasaːo
Murré,mureː
Musicante,muzikante
Musico,muziko
Mustrà,mustɾaː
Mutúra,mutuːɾa
Mystéria,mjsteːɾia
Nacemento,nasemento
Nada,nada
Nada,nada
nadè,nadeː
nandè,nandeː
Nadia,nadia
Namais,namais
namás,namaːs
Nan,nan
Natal-dia,natal dia
Nau-quebrado,nau kebɾado
Navigà,naʋigaː
Necestade,nesestade
Negligá,negligaː
Negócia,negoːsia
Nehum,neum
nihum,nium
nium,nium
Nemistê,nemisteː
nemistà,nemistaː
nimisté,nimisteː
numistè,numisteː
Nérva,neːɾʋa
Nigrinha,nigɾiɲa
Nimito,nimito
nimíta,nimiːta
Nimità,nimitaː
Nimitação,nimitasaːo
Ninquer,ninkeɾ
Ninqueria,ninkeɾia
Nistá,nistaː
Nistade,nistade
Nó,noː
nuó,nuoː
Nóber,noːbeɾ
Nobilidade,nobilidade
Nobréza,nobɾeːza
Nocente,nosente
nocenti,nosenti
Nogo,nogo
Noivu,nojʋu
Nómber,noːmbeɾ
Nompodé,nompodeː
nompôdi,nompoːdi
Nompodia,nompodia
Nona,nona
Nôtis,noːtis
Nonca,nonka
nonco,nonko
nuca,nuka
núcu,nuːku
Nono,nono
Nossè,noseː
Nossotros,nosotɾos
Notáris,notaːɾis
Novas-papella,noʋas papela
Novémber,noʋeːmbeɾ
Nóves,noːʋes
Nóvis,noːʋis
Nué,nueː
nuvé,nuʋeː
nuá,nuaː
Num,num
nun,nun
Numpodé,numpodeː
numpôdi,numpoːdi
Numpodia,numpodia
Nuntem,nuntem
Nuntinha,nuntiɲa
Numbro,numbɾo
Nunca,nunka
nunco,nunko
Nuvè,nuʋeː
Ô,oː
Obedicé,obediseː
obdecé,obdeseː
Obdicindo,obdisindo
Obedecencia,obedesensia
obedecimento,obedesimento
Obre,obɾe
óber,oːbeɾ
Obração,obɾasaːo
Obraro,obɾaɾo
Obrigacè,obɾigaseː
Occidente,osidente
Octóber,oktoːbeɾ
Ódia,oːdia
Offéncia,ofeːnsia
Offercé,ofeɾseː
Offercimento,ofeɾsimento
offeração,ofeɾasaːo
offerça,ofeɾsa
offerço,ofeɾso
Ófis,oːfis
Ófiser,oːfizeɾ
Officina,ofisina
officio,ofisio
officia,ofisia
offiço,ofiso
Ogo,ogo
Oitórè,ojtoːɾeː
Olhà,oʎaː
Olyà,oljaː
oyà,ojaː
Olyo,oljo
Ómber,oːmbeɾ
Omóris,omoːɾis
Omp,omp
ompi,ompi
Ontà,ontaː
Onte,onte
ónti,oːnti
ónta,oːnta
Onzimo,onzimo
Oppressà,oppɾesaː
Oratória,oɾatoːɾia
Orde,oɾde
órdi,oːɾdi
Ordinà,oɾdinaː
Ordinancias,oɾdinansias
Oriente,oɾiente
Orlozo,oɾlozo
Orphano,oɾfano
Ortelão,oɾtelaːo
Orvai,oɾʋai
oravai,oɾaʋai
Otro,otɾo
outrè,outɾeː
Oudisido,oudizido
Ouleiro,ouleiɾo
Oura,ouɾa
óru,oːɾu
Ouro-anjo,ouɾo and̠ʒo
Ouro-coroa,ouɾo koɾoa
Ouvida,ouʋida
ovido,oʋido
ovida,oʋida
Ovi,oʋi
Ovelho,oʋeʎo
Óksigen,oːksid̠ʒen
Pacencia,pasensia
pacénci,paseːnsi
paciénci,pasieːnsi
Padaço,padaso
padas,padas
padaz,padas
Padecemento,padesemento
Padicé,padiseː
Pagà,pagaː
Pague,pad̠ʒe
Palaço,palaso
Palàver,palaːʋeɾ
pàlver,paːlʋeɾ
pàlvra,paːlʋɾa
Palavrado,palaʋɾado
Palmião,palmiaːo
Palmo,palmo
Pamperlão,pampeɾlaːo
Pan,pan
Pancádè,pankaːdeː
pancado,pankado
Panhà,paɲaː
Panocrua,panokɾua
Pap,pap
Papagaia,papagaia
Papella,papela
papélè,papeːleː
Papiá,papiaː
Papiador,papiadoɾ
Papus,papus
Par,paɾ
Pará,paɾaː
Paràbel,paɾaːbel
Parêd,paɾeːd
Paradiso,paɾadizo
Parçaria,paɾsaɾia
Parè,paɾeː
Paridura,paɾiduɾa
Parecè,paɾeseː
parcé,paɾseː
Parecer,paɾeseɾ
parcer,paɾseɾ
Pareço,paɾeso
Parecemento,paɾesemento
parcemento,paɾsemento
paricimento,paɾisimento
Parentelha,paɾenteʎa
Parentes,paɾentes
Parentesca,paɾenteska
Parol,paɾol
Paroliero,paɾolieɾo
Parpora,paɾpoɾa
Parque,paɾke
parqui,paɾki
Parrà,paraː
Pàrtei,paːɾtei
Parte-possuidor,paɾte posuidoɾ
Paçá,pasaː
Passagè,pasad̠ʒeː
passajo,pasad̠ʒo
pasajo,pazad̠ʒo
passai,pasai
passei,pasei
Passá,pasaː
Pascencia,passensia
Pasco,pasko
Pascoa-tempo,paskoa tempo
Passangeiro,pasand̠ʒeiɾo
Passante,pasante
Passavel,pasaʋel
Pastro,pastɾo
pastor,pastoɾ
Pasteá,pasteaː
Pastempo,pastempo
Pastrinho,pastɾiɲo
pasterinho,pasteɾiɲo
pastronélè,pastɾoneːleː
Pastro,pastɾo
pastúr,pastuːɾ
Pateca,pateka
Patriarco,patɾiaɾko
Patta,patːa
Paun,paun
Pavi,paʋi
Péci,peːsi
pési,peːzi
Peçonhoto,pesoɲoto
Pécora,peːkoɾa
Péder,peːdeɾ
Pederia,pedeɾia
pedria,pedɾia
Peditória,peditoːɾia
peditóri,peditoːɾi
pidetória,pidetoːɾia
Pedrejà,pedɾed̠ʒaː
pedreyà,pedɾejaː
pedriá,pedɾiaː
Pegado,pegado
Pégados,peːgados
Pei,pei
Pelegrino,pelegɾino
Péli,peːli
Pelo,pelo
Pelour,pelouɾ
Penerá,peneɾaː
Pénès,peːneːs
pànès,paːneːs
Penetenti,penetenti
Péshon,peːʃon
Pequinino,pekinino
Pequino,pekino
Per,peɾ
pera,peɾa
perè,peɾeː
Percauso,peɾkauzo
Perdá,peɾdaː
Perdeção,peɾdesaːo
Perdovà,peɾdoʋaː
Perfeità,peɾfeitaː
Perfeitado,peɾfeitado
Periba,peɾiba
Perigreneção,peɾigɾenesaːo
Perla,peɾla
Permanecente,peɾmanesente
Permittá,peɾmitːaː
Perseguaição,peɾseguaisaːo
Persuaidir,peɾsuaidiɾ
Pertruvà,peɾtɾuʋaː
Pervertà,peɾʋeɾtaː
Pesadura,pezaduɾa
Pé-solto,peː solto
Pessõa,pesoːa
peason,peazon
pessão,pesaːo
pessan,pesan
Péstia,peːstia
Pete,pete
péti,peːti
Petishon,petiʃon
Péto,peːto
Pézo,peːzo
Piadade,piadade
Piadoso,piadozo
pidoso,pidozo
Piatória,piatoːɾia
piatóri,piatoːɾi
Pidé,pideː
Pill,pil
Pilgrima,pilgɾima
Pinchà,pint̠ʃaː
Pindurá,pinduɾaː
Pindrado,pindɾado
Pinhor,piɲoɾ
Pintador,pintadoɾ
Paip,paip
Piquin,pikin
Pirigo,piɾigo
Pirigá,piɾigaː
Piregoso,piɾegozo
Piscôs,piskoːs
Pisinhoto,piziɲoto
Pistól,pistoːl
Plaga,plaga
plágu,plaːgu
Plein,plein
Plan,plan
Plánchè,plaːnt̠ʃeː
Planétè,planeːteː
Plat,plat
Plein,plein
Plenári,plenaːɾi
Plenidão,plenidaːo
Ploi,ploj
Póbir,poːbiɾ
Póco,poːko
Podéra,podeːɾa
Pódeser,poːdezeɾ
pódiser,poːdizeɾ
Podricé,podɾiseː
Podre-cido,podɾe sido
Po'e,poəe
poi,poj
Polvito,polʋito
Polvito-boceta,polʋito boseta
Pompôria,pompoːɾia
pompôri,pompoːɾi
Pontá,pontaː
Ponto,ponto
pontè,ponteː
Porcadade,poɾkadade
Poristo,poɾisto
Porta-rua,poɾta ɾua
Portugueza,poɾtud̠ʒeza
Possebé,posebeː
possibé,posibeː
pos-suibé,pos suibeː
Possessá,posesaː
Póssia,poːsia
Pótar,poːtaɾ
Pouches,pout̠ʃes
póuchis,poːut̠ʃis
Pouco-idade,pouko idade
Póvès,poːʋeːs
Povoção,poʋosaːo
povesan,poʋezan
Praino,pɾaino
Prandè,pɾandeː
Pranta,pɾanta
Prato,pɾato
Prazero,pɾazeɾo
prazeiro,pɾazeiɾo
Predicá,pɾedikaː
Predicação,pɾedikasaːo
Pregação-horas,pɾegasaːo oɾas
Pregoá,pɾegoaː
Preguador,pɾeguadoɾ
Preguècè,pɾed̠ʒeːseː
Premeiro,pɾemeiɾo
Premesso,pɾemeso
primeiço,pɾimeiso
pri-meço,pɾi meso
Prendé,pɾendeː
prendá,pɾendaː
prandé,pɾandeː
Prendo,pɾendo
prendá,pɾendaː
Prénha,pɾeːɲa
prenhe,pɾeɲe
Prensa,pɾensa
prenso,pɾenso
Preperá,pɾepeɾaː
Presa,pɾeza
Presado,pɾezado
Preso,pɾezo
Preso-casa,pɾezo kaza
Preséncia,pɾezeːnsia
presènci,pɾezeːnsi
Preso,pɾezo
prezo,pɾezo
Présta,pɾeːsta
prestamente,pɾestamente
preste,pɾeste
prestemente,pɾestemente
prestado,pɾestado
prestadomente,pɾestadomente
prestè,pɾesteː
Prestá,pɾestaː
Présta,pɾeːsta
prestado,pɾestado
prestade,pɾestade
prestança,pɾestansa
Preténcia,pɾeteːnsia
Prevalá,pɾeʋalaː
Prevalência,pɾeʋaleːnsia
Primacia,pɾimasia
Priméro,pɾimeːɾo
Primeté,pɾimeteː
primité,pɾimiteː
primitá,pɾimitaː
Premitido,pɾemitido
Primo,pɾimo
Primo-ferido,pɾimo feɾido
Princézè,pɾinseːzeː
Principal,pɾinsipal
Principalidado,pɾinsipalidado
Prinspo,pɾinspo
prenspo,pɾenspo
Prisoneiro,pɾizoneiɾo
Pristè,pɾisteː
Privilézia,pɾiʋileːzia
privilézè,pɾiʋileːzeː
Produzé,pɾoduzeː
producé,pɾoduseː
Professão,pɾofesaːo
Profundura,pɾofunduɾa
Propheciá,pɾofesiaː
Propheto,pɾofeto
Própi,pɾoːpi
Proposá,pɾopozaː
Propôsal,pɾopoːzal
Prósimo,pɾoːzimo
prózimo,pɾoːzimo
prosmo,pɾozmo
prósmi,pɾoːzmi
Prostratá,pɾostɾataː
Protectá,pɾotektaː
Provéita,pɾoʋeːjta
Proveitá,pɾoʋeitaː
pruveitá,pɾuʋeitaː
Proveitação,pɾoʋeitasaːo
Pruffia,pɾufia
profia,pɾofia
Pruffiá,pɾufiaː
Pruffiador,pɾufiadoɾ
Prugunta,pɾugunta
prunta,pɾunta
pruntè,pɾunteː
prunto,pɾunto
Pruguntá,pɾuguntaː
pruntá,pɾuntaː
Pruvá,pɾuʋaː
prouvá,pɾouʋaː
Psalmisto,psalmisto
Puçá,pusaː
pusá,puzaː
Púchi,puːt̠ʃi
Punhá,puɲaː
Puridade,puɾidade
Purificando,puɾifikando
Purismo,puɾizmo
Quadrilla,kuadɾila
Quártrimo,kuaːɾtɾimo
Quátor,kuaːtoɾ
Quebrentá,kebɾentaː
Quebrentação,kebɾentasaːo
Quédè,keːdeː
quadè,kuadeː
Quehora,keoɾa
Quehoraseja,keoɾazed̠ʒa
Quelai,kelai
quilai,kilai
quilei,kilei
quelai,kelai
Quem,kem
Quemsu,kemsu
Quemá,kemaː
quimà,kimaː
Quemadura,kemaduɾa
Quemodo,kemodo
Quenhão,keɲaːo
quinha,kiɲa
Quentá,kentaː
Quentura,kentuɾa
Querré,kereː
Querrendo,kerendo
Querendomente,keɾendomente
querandomente,keɾandomente
Quizer,kizeɾ
Querer,keɾeɾ
queria,keɾia
querria,keria
Querioso,keɾiozo
Quèssa,keːsa
quesa,keza
Quessá,kesaː
Quessador,kesadoɾ
Quetanto,ketanto
qutanto, k utanto
Quifoi,kifoj
Quindé,kindeː
quindi,kindi
Quinhador,kiɲadoɾ
Quorenta,kuoɾenta
Rabana,rabana
rabánè,rabaːneː
Rabentá,rabentaː
Rafiná,rafinaː
Rai,rai
Raiva,raiʋa
raivè,raiʋeː
raibè,raibeː
Ramesindo,ramezindo
Ramo,ramo
Ramucé,ramuseː
Rancá,rankaː
ranchá,rant̠ʃaː
Rancho,rant̠ʃo
Rapicá,rapikaː
Rastá,rastaː
Rastià,rastiaː
Rátel,raːtel
Ratinha,ratiɲa
Rebeldo,rebeldo
Rebellador,rebeladoɾ
Rebelloso,rebelozo
Recadá,rekadaː
Recia,resia
Reciá,resiaː
Recompensão,rekompensaːo
Redá,redaː
Redimé,redimeː
redemé,redemeː
Redundo,redundo
Refença,refensa
refencia,refensia
Refencioso,refensiozo
Refrescação,refɾeskasaːo
Refrigeiro,refɾid̠ʒeiɾo
Refujo,refud̠ʒo
Regáchi,regaːt̠ʃi
Règuel,reːd̠ʒel
Régiment,reːd̠ʒiment
Registração,red̠ʒistɾasaːo
Regná,regnaː
Regolá,regolaː
Rejectá,red̠ʒektaː
Rejeitamento,red̠ʒeitamento
Relijão,relid̠ʒaːo
religio,relid̠ʒio
reliji,relid̠ʒi
relizè,relizeː
relézi,releːzi
Relijoso,relid̠ʒozo
Remèdi,remeːdi
remédè,remeːdeː
remedio,remedio
Rempido,rempido
Rendá,rendaː
Rendaro,rendaɾo
Repagá,repagaː
Repário,repaːɾio
Repartição,repaɾtisaːo
Rependê,rependeː
Rependimento,rependimento
Repentá,repentaː
Repentação,repentasaːo
Repostá,repostaː
Reprende,repɾende
Reprensão,repɾensaːo
Reprová,repɾoʋaː
Reptiles,reptiles
reptils,reptils
Requedá,rekedaː
Requedação,rekedasaːo
Requéza,rekeːza
Requirivel,rekiɾiʋel
Resgueto,rezd̠ʒeto
Resolvá,rezolʋaː
Respeitado,respeitado
Respéto,respeːto
Resplandente,resplandente
resplandoso,resplandozo
Responsibilidade,responsibilidade
Restanto,restanto
Restorá,restoɾaː
Restoração,restoɾasaːo
Retorná,retoɾnaː
Retórna,retoːɾna
Revereno,reʋeɾeno
Rexinol,reʃinol
Rezão,rezaːo
rezan,rezan
Rezonavel,rezonaʋel
Revolá,reʋolaː
Rheumatism,reumatizm
Riba,riba
ribè,ribeː
Richo,rit̠ʃo
riqueiro,rikeiɾo
Riscá,riskaː
Riu,riu
Rodiá,rodiaː
Róga,roːga
Roido,rojdo
Róla,roːla
Rompá,rompaː
Ronchà,ront̠ʃaː
Rondade,rondade
Rosairo,rozaiɾo
Rostè,rosteː
Rota,rota
Rotados,rotados
Rubá,rubaː
Rubador,rubadoɾ
Rubação,rubasaːo
Rudela,rudela
Ruino,ruino
ruvína,ruʋiːna
ruvinação,ruʋinasaːo
Ruiná,ruinaː
ruviná,ruʋinaː
Rule,rule
Rumpé,rumpeː
Ruva,ruʋa
Saberoso,sabeɾozo
sabaroso,sabaɾozo
sabroso,sabɾozo
Saco,sako
Sacrifiço,sakɾifiso
SaGoa creolete,sagoa kɾeolete
sagovate,sagoʋate
Sahinho,saiɲo
Salutá,salutaː
Salutação,salutasaːo
Sandê,sandeː
sandà,sandaː
Santá,santaː
Santildade,santildade
Sápier,saːpieɾ
séper,seːpeɾ
Sapteiro,sapteiɾo
Sará,saɾaː
Sarado,saɾado
Sariants,saɾiants
Sastra,sastɾa
Satisfazido,satisfazido
Satisfeitomente,satisfeitomente
Saude,saude
saode,saode
savôdi,saʋoːdi
Saudição,saudisaːo
Saúdo,sauːdo
saudo-dia,saudo dia
Sayão,sajaːo
sayán,sajaːn
Secado,sekado
Secta,sekta
secto,sekto
Secura,sekuɾa
Secura-chão,sekuɾa t̠ʃaːo
Sedomente,sedomente
Ségel,seːd̠ʒel
Segredè,segɾedeː
segrédi,segɾeːdi
segradè,segɾadeː
Seguedor,sed̠ʒedoɾ
Seguente,sed̠ʒente
segunte,segunte
Seguiador,sed̠ʒiadoɾ
Seguindo,sed̠ʒindo
Seguradomente,seguɾadomente
Seisenta,seizenta
Seisto,seisto
Seite,seite
Séja,seːd̠ʒa
seija,seid̠ʒa
Sem,sem
Semalhança,semaʎansa
semeIhancè,semeianseː
Sementria,sementɾia
Sempetemo,sempetemo
sempretemo,sempɾetemo
sempieterno,sempieteɾno
Sen,sen
Senan,senan
Senhoris,seɲoɾis
Sentencia,sentensia
Seperá,sepeɾaː
Separação,sepaɾasaːo
Sepiá,sepiaː
Sepulturo,sepultuɾo
Séra,seːɾa
Seraphs,seɾafs
Serezan,seɾezan
Serioso,seɾiozo
Servideira,seɾʋideiɾa
Sés,seːs
Sestomo,sestomo
Seve,seʋe
Significão,signifikaːo
Siguier,sid̠ʒieɾ
Silente,silente
Silentemente,silentemente
Simiá,simiaː
Simple,simple
simplo,simplo
Sinceiro,sinseiɾo
Sincoventè,sinkoʋenteː
Sinhárè,siɲaːɾeː
Sinho,siɲo
Sinté,sinteː
Sintemento,sintemento
Sintido,sintido
Siome,siome
Sir,siɾ
Sirvidor,siɾʋidoɾ
Siso,sizo
Sistê,sisteː
Slack,zlakk
slec,zlek
Slenger,zlend̠ʒeɾ
Sobei',sobeiə
Sobérvia,sobeːɾʋia
Sobrano,sobɾano
Sobredade,sobɾedade
soberdade,sobeɾdade
Sóbri,soːbɾi
sóber,soːbeɾ
Sociadade,sosiadade
Sociado,sosiado
Socorá,sokoɾaː
Socoro,sokoɾo
Soffrá,sofɾaː
Sogeito,sod̠ʒeito
Soitâ,sojtaː
Solemno,solemno
Solicitidão,solisitidaːo
Solteira,solteiɾa
Sombral,sombɾal
sombralho,sombɾaʎo
Sombrè,sombɾeː
sómber,soːmbeɾ
Sombreiro,sombɾeiɾo
sumberaro,sumbeɾaɾo
Sometido,sometido
Sonento,sonento
Stal,stal
Staps,staps
Su,su
Subê,subeː
soubê,soubeː
Subiá,subiaː
Subjecto,subd̠ʒekto
Subtomente,subtomente
Súcar,suːkaɾ
Suffri,sufɾi
Suffrador,sufɾadoɾ
Sujaza,sud̠ʒaza
Sujo,sud̠ʒo
Sumana,sumana
sumanè,sumaneː
Suo,suo
Superemo,supeɾemo
Supo,supo
Supportá,suppoɾtaː
supertá,supeɾtaː
Súppodo,suːppodo
súppudo,suːppudo
Suppodomente,suppodomente
Supporto,suppoɾto
Suppressá,suppɾesaː
Susaso,suzazo
Suscedà,sussedaː
susdé,suzdeː
susté,susteː
sosté,sosteː
Suspicio,suspisio
suspiçan,suspisan
Suspira,suspiɾa
Suvà,suʋaː
Suvida,suʋida
Tábè,taːbeː
Tabemaclo,tabemaklo
Tabo,tabo
Tac,tak
tak,tak
Talhí,taʎiː
Tandá,tandaː
