"SriLanka_creole","phonetic_transcription","Portuguese_definition","English_definition","pos","Related_languages","pt_related annotations","sources","original_full_entry","original_Portuguese_definition","original_linguistic_notes","page"
"Calmo","kalmo","calma","calm","noun",,,,"Calmo, calma.","calma",,142
"Calquinha","kalkiɲa","calcanhar","heel","verb",,,,"Calquinha, calcanhar.","calcanhar",,142
"Calsão","kalsaːo","calças","trousers","noun","Macao creole, Sinhala, Konkani","All Portuguese-based creoles of India","Istori de San Clear","Calsão, calças. Comm. Dial. mac.  carçan. T. em singl.","calças",,142
"Calvàri","kalʋaːɾi","Calvário","calvary","noun",,,,"Calvàri, Calvário. Cfr. al-mári, vigári.","Calvário",,142
"Cambiador","kambiadoɾ","cambista","money broker","noun",,"Old Portuguese",,"Cambiador, cambista. — Port. arch. cambador.","cambista",,142
"Cambra","kambɾa","câmara, quarto","chamber, room","noun","Mangalor creole","Dialectal Portuguese",,"Cambra, cambrè, càmber . (fórm. mod.), camará (p. us.), quarto. Cambra: dial. mang.— Port. Dialetal Portuguese.","câmara, quarto","pouco usado",142
"cambrè","kambɾeː","câmara, quarto","chamber, room","noun","Mangalor creole","Dialectal Portuguese",,"Cambra, cambrè, càmber . (fórm. mod.), camará (p. us.), quarto. Cambra: dial. mang.— Port. Dialetal Portuguese.","câmara, quarto","pouco usado",142
"càmber","kaːmbeɾ","câmara, quarto","chamber, room","noun","Mangalor creole","Dialectal Portuguese",,"Cambra, cambrè, càmber . (fórm. mod.), camará (p. us.), quarto. Cambra: dial. mang.— Port. Dialetal Portuguese.","câmara, quarto","pouco usado",142
"Cambrão","kambɾaːo","camarão","prawns","noun","Cochin creole, Macao creole, Mangalor creole, Goa creole","All Portuguese-based creoles of India",,"Cambrão, camarão. Comm. (dial. cochmang. cambrom; dial. mac. cambrám). T. em Gôa.","camarão",,142
"Cam'rado","kaməɾado","camarada, companheiro","companion","noun",,,,"Cam'rado (p. us.), cam-brado, camarada, companheiro. Cfr. propheto, escriba.","camarada, companheiro","pouco usado",142
"cambrado","kambɾado","camarada, companheiro","companion","noun",,,,"Cam'rado (p. us.), cam-brado, camarada, companheiro. Cfr. propheto, escriba.","camarada, companheiro","pouco usado",142
"Campal","kampal","campo, planície","field, plain","noun",,,,"Campal, campo, planície.-Do port. adj. Ha também um logar chamado campal em Pangim,","campo, planície",,142
"Can'","kanə","quando","quando","conjunction","Cochin creole",,,"Can', candè, quando. Dial. I coch.","quando",,142
"candè","kandeː","quando","quando","conjunction","Cochin creole",,,"Can', candè, quando. Dial. I coch.","quando",,142
"Canàlhi","kanaːʎi","canalha","scoundrel!","noun",,,"O Bruffador, ii periódico","Canàlhi [Br. 2), canalha.","canalha",,142
"Cançàs","kansaːs","cansaço","tiredness","noun",,,,"Cançàs, cançaço.","cançaço",,142
"Câncer","kaːnseɾ","cancro","cancer","noun","English","Old Portuguese",,"Câncer, cancro. — Port. arch. ou ingl.","cancro",,142
"Candecera","kandeseɾa","candeeiro","lamp","noun",,,,"Candecera, can'cera (fir.i), candieiro.","candieiro",,142
"can'cera","kanəseɾa","candeeiro","lamp","noun",,,,"Candecera, can'cera (fir.i), candieiro.","candieiro",,142
"Candelàr","kandelaːɾ","candelabro","chandelier","noun","English",,,"Candelàr, candelér, candelabro.","candelabro",,142
"candelér","kandeleːɾ","candelabro","chandelier","noun","English",,,"Candelàr, candelér, candelabro.","candelabro",,142
"Cândia","kaːndia","candeia","lamp","noun","Macao creole",,,"Cândia, candeia. Dial. mac. Cfr. ária, cadia.","candeia",,142
"Canto","kanto","quanto","quanto","adverb","Capeverdean creole","Old Portuguese, Dialectal Portuguese",,"Canto, quanto. Dial. cab.— Port. arch. e Dialetal Portuguese.","quanto",,142
"Kep","kep","chapéu de senhoras","ladies hat","noun","English",,,"Cap (pron. kép)chapéu de senhoras"," bonet. — Ingl.","chapéu de senhoras",142
"Capas","kapas","capaz","able","adjective",,,,"Capas, capaz (t. us.). Capa-zidade, eapazdade, capacidade.","capaz",,142
"Capitel","kapitel","capítulo","chapter","noun",,,"Bautismo","Capitel {Baut.), capitulo.","capitulo",,142
"Captão","kaptaːo","capitão","captain","noun",,,"O Bruffador, ii periódico","Captão, capitano (Br. 2), capitão.","capitão",,142
"capitano","kapitano","capitão","captain","noun",,,"O Bruffador, ii periódico","Captão, capitano (Br. 2), capitão.","capitão",,142
"Caravão","kaɾaʋaːo","carvão","charcoal","noun",,,,"Caravão, carvão. Svara-bhakti. Cfr. oravai.","carvão",,142
"Careiro","kaɾeiɾo","carreira, curso","career, course","noun",,,"O Bruffador, ii periódico","Careiro, cararo {Br. 2), carreira; curso.","carreira"," curso",142
"cararo","kaɾaɾo","carreira, curso","career, course","noun",,,"O Bruffador, ii periódico","Careiro, cararo {Br. 2), carreira; curso.","carreira"," curso",142
"Cargá","kaɾgaː","carregar","load","verb","Macao creole",,,"Carga, carregar. Dial. mac.","carregar",,142
"Cargação","kaɾgasaːo","carregamento","load","noun",,,,"Cargação, carregação, carregamento.","carregamento",,142
"Cari","kaɾi","caril","curry","noun",,,,"Cari, caril. «Fazem comeres das aves e carnes (a que cha- &lt;&gt; mam caril))». Gare—Prak.cfíFT","caril",,142
"Caria","kaɾia","formiga branca","termite","noun",,"All Portuguese-based creoles of India",,"Caria, formiga branca. Comm. — Do port. carie?","formiga branca",,142
"Caridavel","kaɾidaʋel","caridoso","charitable","adjective",,,"O Bruffador, ii periódico","Caridavel {Br. 2), caridoso.","caridoso",,142
"Caringuejo","kaɾinged̠ʒo","caranguejo","crab","noun","Cochin creole",,,"Caringuejo, caranguejo. Dial. coch.","caranguejo",,142
"Caristia","kaɾistia","carestia","famine","noun","Diu creole, Mangalor creole",,,"Caristia, oaristi, earres-tia, carestia. Caristi: dial. div. Dial. mang. carestí. Cfr. allegri.","carestia",,143
"caristi","kaɾisti","carestia","famine","noun","Diu creole, Mangalor creole",,,"Caristia, oaristi, earres-tia, carestia. Caristi: dial. div. Dial. mang. carestí. Cfr. allegri.","carestia",,143
"carrestia","karestia","carestia","famine","noun","Diu creole, Mangalor creole",,,"Caristia, oaristi, earres-tia, carestia. Caristi: dial. div. Dial. mang. carestí. Cfr. allegri.","carestia",,143
"Carrete","karete","carreta, carruagem","cart, carriage","noun",,,,"Carrete, careta, caretè, carreta; carruagem.","carreta, carruagem",,143
"careta","kaɾeta","carreta, carruagem","cart, carriage","noun",,,,"Carrete, careta, caretè, carreta; carruagem.","carreta, carruagem",,143
"caretè","kaɾeteː","carreta, carruagem","cart, carriage","noun",,,,"Carrete, careta, caretè, carreta; carruagem.","carreta, carruagem",,143
"Carro","karo","caro","expensive","adjective",,,,"Carro, caro. Cfr. barrato.","caro",,143
"Cartá","kaɾtaː","acarretar, deitar raízes, produzir frutos","entail, put down roots, produce fruit","verb","Macao creole",,,"Carta, acarretar; deitar (raizes, ramos); produzir (flores, fructos). Dial. mac. Cfr. carga, dartê.","acarretar, deitar raízes, produzir frutos",,143
"Carta-mesa","kaɾta meza","mesa de cartas de jogo","playing card table","noun",,,,"Carta-mesa, mesa de cartas de jogo.","mesa de cartas de jogo",,143
"Cartè","kaɾteː","carta","letter","noun",,,,"Carte, carta (mais us.).","carta",,143
"Casa-lugária","kaza lugaːɾia","aluguer da casa","house rental","verb",,,,"Casa-lugária, aluguel da casa. Casa-porta, casa e porta: governo da casa, negócios domésticos.— Infl. indigena.","aluguel da casa",,143
"Casa-porta","kaza poɾta","governo da casa, negócios domésticos","house government, domestic business","noun",,,,,"governo da casa, negócios domésticos",,
"Casião","kaziaːo","ocasião","occasion","noun",,,,"Casião, cassião, occasião. Cfr. cupaçáo.","occasião",,143
"Cassa","kasa","caixa","box","noun",,,,"Cassa, caixa. Cassâo, caixão.","caixa",,143
"Cassão","kasaːo","caixão","coffin","noun",,,,,"caixão",,
"Castella","kastela","castelo","castle","noun",,,,"Castella, castellé, castello.","castello",,143
"castellé","kasteleː","castelo","castle","noun",,,,"Castella, castellé, castello.","castello",,143
"Castigação","kastigasaːo","castigo","punishment","noun",,,,"Castigaçâo (C A.)^ castigo.","castigo",,143
"Cativeira","katiʋeiɾa","cativa","captive","adjective",,,,"Cativeira, captiva.","captiva",,143
"Catividade","katiʋidade","cativeiro","captivity","noun",,,,"Catividade, captiveiro. Cfr. duvidade, sobredade.","captiveiro",,143
"Catàrr","kataːr","catarro","catarrh","noun",,,,"Catàrr, catarrho. Cfr. pelour.","catarrho",,143
"Causo","kauzo","causa","cause","noun",,,,"Causo, causa. Causedor, causador.","causa",,143
"Cavador","kaʋadoɾ","acabador, consumador","finisher","noun","Macao creole",,,"Cava. V. CABA. Dial. mac. Cavador, acabador, consum-mador. Gavertá por cavar.","acabador, consumador",,143
"Cavalheria","kaʋaʎeɾia","cavalaria","armoured corps","noun",,,,"Cavalheria, cavallaria.","cavallaria",,143
"Cavente","kaʋente","acabando","ending","GER",,,,"Cavente, acabando.","acabando",,143
"Cavelyéro","kaʋelʲeːɾo","cavalheiro","gentleman","noun",,,,"Caveljéro, cavalheiro. Cfr. filjo, iljarga.","cavalheiro",,143
"Cavelo","kaʋelo","cabelo","hair","noun",,,,"Cavelo, cavelho, cabello.","cabello",,143
"Caverno","kaʋeɾno","caverna","cavern","noun",,,,"Caverno, caverna.","caverna",,143
"Caxa","kaʃa","queixa","complaint","noun",,,,"Caxa {Br. 2), queixa. V.","queixa",,143
"Cendê","sendeː","acender","light","verb",,,,"Cendô (A^. T.), accender. V.","accender",,143
"Cento","sento","cento, cem","hundred","numeral","Cochin creole",,,"Cento, centa, cento, cem (desus.). Dial. coch.","cento, cem",,143
"centa","senta","cento, cem","hundred","numeral","Cochin creole",,,"Cento, centa, cento, cem (desus.). Dial. coch.","cento, cem",,143
"Cents","sents","cêntimos","cents","noun","English",,,"Cents, cêntimos (moeda).— Ingl.","cêntimos",,143
"Ceremonio","seɾemonio","cerimónia","ceremony","noun",,,,"Ceremonio, cerimonia.","cerimonia",,143
"Certeza","seɾteza","certeza, certo","sure, right","noun",,,,"Certeza, certézè, certeza; certo. Mais us. nesta accepção.","certeza, certo",,143
"certézè","seɾteːzeː","certeza, certo","sure, right","noun",,,,"Certeza, certézè, certeza; certo. Mais us. nesta accepção.","certeza, certo",,143
"Chabuco","t̠ʃabuko","chicote, azorrague","whip","noun","Persian",,"Istori de San Clear","Chabuoo, chabuca, chicote, azorrague. Chabuco: dial. mac —Pers. ^^^fl-a^ {chãbuk). T. nos prákritos. Chabucá, chicotar.","chicote, azorrague",,143
"chabuca","t̠ʃabuka","chicote, azorrague","whip","noun","Persian",,"Istori de San Clear","Chabuoo, chabuca, chicote, azorrague. Chabuco: dial. mac —Pers. ^^^fl-a^ {chãbuk). T. nos prákritos. Chabucá, chicotar.","chicote, azorrague",,143
"Chalo","t̠ʃalo","chalé","chalet","noun",,,,"Chalo, chalé.","chalé",,143
"Chan","t̠ʃan","chão","ground","noun",,,,"Cban, chão.","chão",,143
"Chap","t̠ʃap","loja","shop","noun","English",,,"Chap, loja. — Ingl. shop. T. em singl.","loja",,143
"Chápè","t̠ʃaːpeː","chapa","sheet","noun",,,,"Chápè, chapa (t, us.); sello.","chapa",,143
"Chape","t̠ʃape","chapéu","hat","noun","Capeverdean creole, Diu creole",,,"Chape, chapéu. Dial. divde Mahé, cab.","chapéu",,143
"Chart","t̠ʃaɾt","mapa","chart","noun","English",,,"Chart, carta, mappa. — Ingl.","mapa",,143
"Chela","t̠ʃela","regatas","regatta","noun",,"All Portuguese-based creoles of India","Istori de San Clear","Cheia, «cheia»regatas. Comm. — Sansk. t4^ {cheia).","regatas",,143
"Chéo","t̠ʃeːo","cheio","full","adjective","Macao creole",,,"Chéo, cheio. Dial. mac. Cfr. féo, viéo.","cheio",,143
"Chéro","t̠ʃeːɾo","cheiro","odour","noun",,,,"Chéro, chiero, chiesto, cbisto, cheiro. Chisto, cheiroso, odoroso.","cheiro",,143
"chiero","t̠ʃieɾo","cheiro","odour","noun",,,,"Chéro, chiero, chiesto, cbisto, cheiro. Chisto, cheiroso, odoroso.","cheiro",,143
"chiesto","t̠ʃiesto","cheiro","odour","noun",,,,"Chéro, chiero, chiesto, cbisto, cheiro. Chisto, cheiroso, odoroso.","cheiro",,143
"chisto","t̠ʃisto","cheiro","odour","noun",,,,"Chéro, chiero, chiesto, cbisto, cheiro. Chisto, cheiroso, odoroso.","cheiro",,143
"Chisto","t̠ʃisto","cheiroso, odoroso","fragrant, odorous","adjective",,,,,"cheiroso, odoroso",,
"Chiado","t̠ʃiado","astuto, ladino, malicioso","cunning, rogue, malicious","noun","Konkani, Marathi",,,"Chiado, astuto, ladino, malicioso. Cheadice, chediça, chidiça, chidice, astúcia, tre-dice. Chedice-litigua, lingua fraudulenta. — Konk. -ctllA (chyâd)mar. ""^^U {chhadmí)sansk. fe |&lt;|H {chhadmin).","astuto, ladino, malicioso",,143
"Cheadice","t̠ʃeadise","astúcia, tredice","cunning","noun",,,,,"astúcia, tredice",,
"chediça","t̠ʃedisa","astúcia, tredice","cunning","noun",,,,,"astúcia, tredice",,
"chidiça","t̠ʃidisa","astúcia, tredice","cunning","noun",,,,,"astúcia, tredice",,
"chidice","t̠ʃidise","astúcia, tredice","cunning","noun",,,,,"astúcia, tredice",,
"Chedice-lingua","t̠ʃedise lingua","língua fraudulenta","fraudulent language","noun",,,,,"lingua fraudulenta",,
"China-patàz","t̠ʃina pataːs","foguete de ar","air rocket","noun","Malay",,,"China-patàz, foguete de ar. — De China e ■,r'~. {patas)malaio.","foguete de ar",,143
"Chinglà","t̠ʃinglaː","cingalês","Singhalese","noun",,,,"Chinglà, Sinhala. — Sansk. U1«çr&lt;i {simhala).","Sinhala",,143
"Chipi","t̠ʃipi","concha","shell","noun","Konkani, Marathi",,,"Chipi, concha. Dicc. Con-temp. diz: «Chipo, ostra que dá o aljôfar». —Tam. e mall. ^LJl51 {chippi), konk. e mar. fwft {simpt).","concha",,143
"Chita","t̠ʃita","fazenda de algodão estampada a cores","color printed cotton cloth","noun","Konkani, Marathi, Sinhala, Hindi",,"Istori de San Clear","Chita, fazenda de algodão estampada a côres. Còmm. T. em indo-English  (chintif). Do hind. s^&gt;;..^ ^ chhint. — Em","fazenda de algodão estampada a cores",,144
"Chocarréa","t̠ʃokareːa","chocarrice","jest","noun",,,,"Ohocarréa,choqueria, choca rrice.","chocarrice",,144
"choqueria","t̠ʃokeɾia","chocarrice","jest","noun",,,,"Ohocarréa,choqueria, choca rrice.","chocarrice",,144
"Chomà","t̠ʃomaː","chamar","call","verb","Capeverdean creole, Marathi","Dialectal Portuguese",,"Chomà, chamar. Dial. mac, cab. Chóma, chamamento; vocação.— Port. Dialetal Portuguese. chomar ou chiimar.","chamar",,144
"Chóma","t̠ʃoːma","chamamento","calling","noun",,,,,"chamamento",,
"Chorrà","t̠ʃoraː","chorar","cry","verb",,,"O Bruffador, i periódico","Cliorrà [Br. i), churá, chorar. Cfr. virrá.","chorar",,144
"churá","t̠ʃuɾaː","chorar","cry","verb",,,"O Bruffador, i periódico","Cliorrà [Br. i), churá, chorar. Cfr. virrá.","chorar",,144
"Chóve","t̠ʃoːʋe","chuva","rain","noun",,,"O Bruffador, ii periódico","Chove {Br. 2), chuva.","chuva",,144
"Cristendade","kɾistendade","Cristandade","christianity","noun",,,,"Christendade, christan-dade.","Cristandade",,144
"Cristmas","kɾistmas","Natal","Christmas","noun","English",,,"Christmas, Natal (t. us.).— Ingl.","Natal",,144
"Chuchadas","t̠ʃut̠ʃadas","golpes","blows","noun",,,"O Bruffador, i periódico, Novo testamento","Chuchadas {Br. i), golpes (fig.). Chuchado, ralado, remordido. «Tinha chuchado» {compiincti sunt. Act. Sy. 11, Dissecabantur. v, 33). N. T. de i852.","golpes",,144
"Chuchado","t̠ʃut̠ʃado","ralado, remordido","grated","adjective",,,,,"ralado, remordido",,
"Chulo","t̠ʃulo","archote, facho","torch, beam","noun","Sinhala","Old Portuguese",,"Chulo, archote, facho. — Singl. MrrTu^tq {chilokhuva).","archote, facho",,144
"Chumà","t̠ʃumaː","sem motivo, sem propósito","no reason, no purpose","adverb","Mangalor creole, Tamil",,,"Chumà, sem motivo, sem propósito. Dial. mang.—Tam. di-LLlh^ {chutmnâ).","sem motivo, sem propósito",,144
"Chumaço","t̠ʃumaso","travesseiro, almofada","pillow, cushion","noun",,"Old Portuguese, All Portuguese-based creoles of India",,"Chumaço, travesseiro,almofada. Comm. — Port. arch.","travesseiro, almofada",,144
"Chunambo","t̠ʃunambo","cal","lime","noun","Tamil, Malay",,,"Chunambo, caX.Chuname em Gôa e outras partes. T. em indo-English {chunavi). —Tammall. drOPSfi^^LLi !_/  {chwviârhbu) ;","cal",,144
"Chusmo","t̠ʃuzmo","chusma, séquito, comitiva","mob, retinue, entourage","noun",,,,"Chusmo, chusma; séquito, comitiva.","chusma, séquito, comitiva",,144
"Cinquo","sinkuo","cinco","five","numeral",,"Old Portuguese",,"Cinquo, cinquè, cinco (mais us.). Cinquento, cincoenta (t. us.). Cinquo: port. arch.","cinco",,144
"cinquè","sinkeː","cinco","five","numeral",,"Old Portuguese",,"Cinquo, cinquè, cinco (mais us.). Cinquento, cincoenta (t. us.). Cinquo: port. arch.","cinco",,144
"Cinquento","sinkento","cinquenta","fifty","numeral",,,,,"cinquenta",,
"Cintura","sintuɾa","cintura, cinto, cinturão","waist, belt","noun",,,,"Cintura, cintura; cinto, cinturão. Cintura, cingir.","cintura, cinto, cinturão",,144
"Cinturà","sintuɾaː","cingir","belt","verb",,,,,"cingir",,
"Circumcisá","siɾkumsizaː","circuncidar","circumcise","verb","English",,,"Circumcisá, circumciá, cir-cumcidar. Circumcido, circum-cidado. De circumcisão ou do ingl. to circumcise.","circumcidar",,144
"circumciá","siɾkumsiaː","circuncidar","circumcise","verb","English",,,"Circumcisá, circumciá, cir-cumcidar. Circumcido, circum-cidado. De circumcisão ou do ingl. to circumcise.","circumcidar",,144
"Circumcido","siɾkumsido","circuncidado","circumcised","adjective",,,,,"circumcidado",,
"Cizo","sizo","siso, prudência, aviso, conselho, assisado, sábio, prudente","wisdom, prudence, warning, advice, assisted, wise, prudent","noun",,,,"Cijo, siso; prudência; aviso, conselho; assisado, sábio, prudente. Cizomente, sensatamente, prudentemente.","siso, prudência, aviso, conselho, assisado, sábio, prudente",,144
"Cizomente","sizomente","sensatamente, prudentemente","sensibly, prudently","adverb",,,,,"sensatamente, prudentemente",,
"Clar","klaɾ","claro","clear","adjective",,,,"Ciar, claro. Clarmente, claramente. Cfr. desempar.","claro",,144
"Clarmente","klaɾmente","claramente","clearly","adverb",,,,,"claramente",,
"Cóber","koːbeɾ","cobra","snake","noun",,,,"Cóber (fórm. mod.), cobra.","cobra",,144
"Cobiço","kobiso","cobiça","greed","noun",,,,"Cobiço, cobiça.","cobiça",,144
"Kófi","koːfi","café","coffee","noun","English",,,"Coffee (pron. kófi), café.— Ingl.","café",,144
"Coidá","kojdaː","cuidar","care","verb",,,,"Coidá, cuidar (mais us.). Coidado, cuidado.","cuidar",,144
"Coidado","kojdado","cuidado","caution","noun",,,,,"cuidado",,
"Çoità","sojtaː","açoitar","flog","verb",,,,"Çoità, açoitar.","açoitar",,144
"Coitado","kojtado","pobre, mendigo","poor beggar","adjective",,"All Portuguese-based creoles of India",,"Coitado, pobre, mendigo. Comm.","pobre, mendigo",,144
"Colleição","koleisaːo","coleção","collection","noun",,"Old Portuguese",,"Colleiçâo, collecção. — Port. arch.","collecção",,144
"Color","koloɾ","cor","colour","noun","English","Old Portuguese",,"Color, clor, côr (t. us.). — Color: port. arch. Talvez infl. do ingl.","cor",,144
"clor","kloɾ","cor","colour","noun","English","Old Portuguese",,"Color, clor, côr (t. us.). — Color: port. arch. Talvez infl. do ingl.","cor",,144
"Columno","kolumno","coluna","pillar","noun",,,,"Columno, columna.","columna",,144
"Cóma","koːma","como","as","conjunction","Cochin creole","Old Portuguese",,"Coma (p. us.), come (p. us.), como. Coma: dial. coch.— Port. arch.","como","pouco usado",144
"comè","komeː","como","as","conjunction","Cochin creole","Old Portuguese",,"Coma (p. us.), come (p. us.), como. Coma: dial. coch.— Port. arch.","como","pouco usado",144
"Combersan","kombeɾsan","conversão","conversion","noun",,,,"Combersan (fórm. mod.). V. CONVERSÃO.","conversão","forma moderna",144
"Começa","komesa","começo","beginning","noun",,,,"Começa, começo.","começo",,144
"Comedi","komedi","comédia","comedy","noun",,,,"Comedi, comédè, comedia. Cfr. istôri, mimôri.","comédia",,144
"comédè","komeːdeː","comédia","comedy","noun",,,,"Comedi, comédè, comedia. Cfr. istôri, mimôri.","comédia",,144
"Comera","komeɾa","comida","food","noun",,,"O Bruffador, ii periódico","Comera, comêrè, comero {Br. 2), comeira, comeria, comida. Cfr. podêra; lugária.","comida",,144
"comêrè","komeːɾeː","comida","food","noun",,,"O Bruffador, ii periódico","Comera, comêrè, comero {Br. 2), comeira, comeria, comida. Cfr. podêra; lugária.","comida",,144
"comero","komeɾo","comida","food","noun",,,"O Bruffador, ii periódico","Comera, comêrè, comero {Br. 2), comeira, comeria, comida. Cfr. podêra; lugária.","comida",,144
"comeira","komeiɾa","comida","food","noun",,,"O Bruffador, ii periódico","Comera, comêrè, comero {Br. 2), comeira, comeria, comida. Cfr. podêra; lugária.","comida",,144
"coméria","komeːɾia","comida","food","noun",,,"O Bruffador, ii periódico","Comera, comêrè, comero {Br. 2), comeira, comeria, comida. Cfr. podêra; lugária.","comida",,144
"Comers","komeɾs","comeres","foods","noun",,,,"Comers, comeres. Us. só no pi. Cír. fali ar s.","comeres",,145
"Comfortable","komfoɾtable","confortativo","comfortable","adjective","English",,,"Comfortable, confortati-vo. — Ingl.","confortativo",,145
"Comidá","komidaː","convidar","invite","verb",,,,"Comida, convidar. Comida-ção, convite.","convidar",,145
"Comidação","komidasaːo","convite","invitation","noun",,,,,"convite",,
"Commettá","kometːaː","cometer","commit","verb",,,,"Commettá, comité (Gomes), commetter. Cfr. perverta.","commetter",,145
"Comménda","komeːnda","ordem, mandado","order, warrant","noun","English",,,"Comménda, ordem, mandado.— Ingl. commani.","ordem, mandado",,145
"Comminhão","komiɲaːo","comunhão","communion","noun",,,,"Comminhão, communião p. us.), communhão.","communnião","pouco usado",145
"Communigá","komunigaː","comungar","communicate","verb","English",,,"Communigá (Gomes), com-mungar. — Intl. do ingl. to com-municate.","commungar",,145
"Companha","kompaɲa","companhia, multidão, turba","company, crowd, mob","noun","Macao creole","Old Portuguese",,"Companha, compinha (menos us.), companhia; multidão, turba. Companha, compinha, acompanhar. Companhamen-to, companhimento, compi-nhamento, acompanhamento. Compinhador, acompanha-dor. — Companha: dial. mac.; port. archmarítimo e dialectal.","companhia; multidão, turba",,145
"compinha","kompiɲa","companhia, multidão, turba","company, crowd, mob","noun","Macao creole","Old Portuguese",,"Companha, compinha (menos us.), companhia; multidão, turba. Companha, compinha, acompanhar. Companhamen-to, companhimento, compi-nhamento, acompanhamento. Compinhador, acompanha-dor. — Companha: dial. mac.; port. archmarítimo e dialectal.","companhia; multidão, turba",,145
"Companhà","kompaɲaː","acompanhar","accompany","verb",,,,,"acompanhar",,
"compinhà","kompiɲaː","acompanhar","accompany","verb",,,,,"acompanhar",,
"Companhamen-to","kompaɲamen to","acompanhamento","accompaniment","noun",,,,,"acompanhamento",,
"companhimento","kompaɲimento","acompanhamento","accompaniment","noun",,,,,"acompanhamento",,
"compinhamento","kompiɲamento","acompanhamento","accompaniment","noun",,,,,"acompanhamento",,
"Compinhador","kompiɲadoɾ","acompanhador","escort","noun",,,,,"acompanhador",,
"Companhério","kompaɲeːɾio","companheiro","partner","noun",,,"Novo testamento","Companhério {N. T.), com-pinheiro, companheiro. Mais us. cambrado.","companheiro",,145
"compinheiro","kompiɲeiɾo","companheiro","partner","noun",,,"Novo testamento","Companhério {N. T.), com-pinheiro, companheiro. Mais us. cambrado.","companheiro",,145
"Compania","kompania","companhia militar","military company","noun","English",,"O Bruffador, ii periódico","Compania [Br. 2), companhia militar. — Despalat. por infl. do ingl. company.","companhia militar",,145
"Competè","kompeteː","competir, convir, pertencer","compete, agree, belong","verb",,,,"Compete, competá (p. us.), competir; convir; pertencer (desus.). Competido, conveniente, justo, próprio. Compe-tidomente, competidamente.","competir, convir, pertencer","pouco usado",145
"competá","kompetaː","competir, convir, pertencer","compete, agree, belong","verb",,,,"Compete, competá (p. us.), competir; convir; pertencer (desus.). Competido, conveniente, justo, próprio. Compe-tidomente, competidamente.","competir, convir, pertencer","pouco usado",145
"Complemento","komplemento","cumprimento","compliment","noun","English",,"O Bruffador, ii periódico","Complemento {Br. 2), cumprimento.— Infl. do ingl. com-pliment.","cumprimento",,145
"Compridão","kompɾidaːo","comprimento","length","noun",,,"O Bruffador, i periódico","Compridão (p. us.), com-perdão, compramento {Br. i), comprimento. — De comprido.","comprimento","pouco usado",145
"comperdão","kompeɾdaːo","comprimento","length","noun",,,"O Bruffador, i periódico","Compridão (p. us.), com-perdão, compramento {Br. i), comprimento. — De comprido.","comprimento","pouco usado",145
"compramento","kompɾamento","comprimento","length","noun",,,"O Bruffador, i periódico","Compridão (p. us.), com-perdão, compramento {Br. i), comprimento. — De comprido.","comprimento","pouco usado",145
"Comtodo","komtodo","contudo","however","adverb",,,,"Comtodo, comtudo.","comtudo",,145
"Con'cé","konəseː","conhecer","know","verb",,,"Elucidário de Viterbo","Con'cé, conhecer. Elucid.: conecer, cotiocer, cunucer.","conhecer",,145
"Cóncert","koːnseɾt","concerto musical","music concert","noun","English",,,"Cóncert, concerto musical.— Ingl.","concerto musical",,145
"Concertá","konseɾtaː","concertar, fabricar, construir, formar","fix, manufacture, build, form","verb","Marathi",,,"Concerta, concertar; fabricar, construir, formar.","concertar, fabricar, construir, formar",,145
"Concérta","konseːɾta","concerto, pacto","concert, pact","noun",,,,"Concerta {N. 7!), concerto, pacto.","concerto, pacto",,145
"Concià","konsiaː","aconselhar,tomar conselho, consultar, deliberar","advise, take advice, consult, deliberate","verb",,,,"Concià, conselhar (ant.), tomar conselho, consultar, deliberar.","conselhar,tomar conselho, consultar, deliberar",,145
"Condiná","kondinaː","condenar","condemn","verb",,,,"Condiná, condemnar. Con-dinação, condemnação (t. us.).","condenar",,145
"Condinação","kondinasaːo","condenação","sentence","noun",,,,,"condenação",,
"Confessão","konfesaːo","confesso","confess","adjective",,"Portuguese-based creoles of Indian mainland",,"Confessão, confesso (mais us.). Confesso: dialectal no cont. Cfr. professão; bén^a, relijio.","confesso",,145
"confesso","konfeso","confesso","confess","adjective",,"Portuguese-based creoles of Indian mainland",,"Confessão, confesso (mais us.). Confesso: dialectal no cont. Cfr. professão; bén^a, relijio.","confesso",,145
"Confiador","konfiadoɾ","fiel, cristão","faithful, christian","adjective",,,,"Confiador, fiel; christao. Confiadeira, fiel. Cfr. merca-deira.","fiel, cristao",,145
"Confidença","konfidensa","confiança","confidence","noun","English",,,"Coníidença, confiança (mais us.). — Ingl. confidence.","confiança",,145
"Confina","konfina","confim","end","adverb",,,,"Confina, confim. Cfr. irmana, capitano.","confim",,145
"Conforma","konfoɾma","conforme","in accordance","preposition",,,,"Conforma, conforme (mais us.).","conforme",,145
"Confundá","konfundaː","confundir","confuse","verb",,,,"Confunda, confundir.","confundir",,145
"Confusado","konfuzado","confuso","confused","adjective","English",,,"Confusado, confusadoso, confuso. — De confusão ou do ingl. confused.","confuso",,145
"condusadoso","konduzadozo","confuso","confused","adjective","English",,,"Confusado, confusadoso, confuso. — De confusão ou do ingl. confused.","confuso",,145
"Consciancia","konsiansia","consciência","conscience","noun",,,,"Consciancia, conscencia, consciência (t. us.).","consciência",,145
"conscencia","konsensia","consciência","conscience","noun",,,,"Consciancia, conscencia, consciência (t. us.).","consciência",,145
