word,IPA,TRSVG,TRSVG_split,CV
candelàr,kandelaːɾ,TVRTVRVR,TVR.TV.RVR,CVC.CV.CVC
candelér,kandeleːɾ,TVRTVRVR,TVR.TV.RVR,CVC.CV.CVC
cândia,kaːndia,TVRTVV,TVR.TV.V,CVC.CV.V
canto,kanto,TVRTV,TVR.TV,CVC.CV
kep,kep,TVT,TV.T,CV.C
capas,kapas,TVTVS,TV.TVS,CV.CVC
capitel,kapitel,TVTVTVR,TV.TV.TVR,CV.CV.CVC
captão,kaptaːo,TVTTVV,TV.T.TV.V,CV.C.CV.V
capitano,kapitano,TVTVTVRV,TV.TV.TV.RV,CV.CV.CV.CV
caravão,kaɾaʋaːo,TVRVTVV,TV.RV.TV.V,CV.CV.CV.V
careiro,kaɾeiɾo,TVRVGRV,TV.RVG.RV,CV.CVV.CV
cararo,kaɾaɾo,TVRVRV,TV.RVRV,CV.CVCV
cargá,kaɾgaː,TVRTV,TVR.TV,CVC.CV
cargação,kaɾgasaːo,TVRTVSVV,TVR.TV.SV.V,CVC.CV.CV.V
cari,kaɾi,TVRV,TV.RV,CV.CV
caria,kaɾia,TVRVV,TV.RV.V,CV.CV.V
caridavel,kaɾidaʋel,TVRVTVTVR,TV.RV.TV.TVR,CV.CV.CV.CVC
caringuejo,kaɾinged̠ʒo,TVRVRTVTV,TV.RVR.TV.TV,CV.CVC.CV.CV
caristia,kaɾistia,TVRVSTVV,TV.RVS.TV.V,CV.CVC.CV.V
caristi,kaɾisti,TVRVSTV,TV.RVS.TV,CV.CVC.CV
carrestia,karestia,TVRVSTVV,TV.RVS.TV.V,CV.CVC.CV.V
carrete,karete,TVRVTV,TV.RV.TV,CV.CV.CV
careta,kaɾeta,TVRVTV,TV.RV.TV,CV.CV.CV
caretè,kaɾeteː,TVRVTV,TV.RV.TV,CV.CV.CV
carro,karo,TVRV,TV.RV,CV.CV
cartá,kaɾtaː,TVRTV,TVR.TV,CVC.CV
carta mesa,kaɾta meza,TVRTV RVSV,TVR.TV RV.SV,CVC.CV CV.CV
cartè,kaɾteː,TVRTV,TVR.TV,CVC.CV
casa lugária,kaza lugaːɾia,TVSV RVTVRVV,TV.SV RV.TV.RV.V,CV.CV CV.CV.CV.V
casa porta,kaza poɾta,TVSV TVRTV,TV.SV TVR.TV,CV.CV CVC.CV
casião,kaziaːo,TVSVVV,TV.SV.VV,CV.CV.VV
cassa,kasa,TVSV,TV.SV,CV.CV
cassão,kasaːo,TVSVV,TV.SV.V,CV.CV.V
castella,kastela,TVSTVRV,TVS.TV.RV,CVC.CV.CV
castellé,kasteleː,TVSTVRV,TVS.TV.RV,CVC.CV.CV
castigação,kastigasaːo,TVSTVTVSVV,TVS.TV.TV.SV.V,CVC.CV.CV.CV.V
cativeira,katiʋeiɾa,TVTVTVGRV,TV.TV.TVG.RV,CV.CV.CVV.CV
catividade,katiʋidade,TVTVTVTVTV,TV.TV.TV.TV.TV,CV.CV.CV.CV.CV
catàrr,kataːr,TVTVR,TV.TVR,CV.CVC
causo,kauzo,TVGSV,TVG.SV,CVV.CV
cavador,kaʋadoɾ,TVTVTVR,TV.TV.TVR,CV.CV.CVC
cavalheria,kaʋaʎeɾia,TVTVRVRVV,TV.TV.RVRV.V,CV.CV.CVCV.V
cavente,kaʋente,TVTVRTV,TV.TVR.TV,CV.CVC.CV
cavelyéro,kaʋelʲeːɾo,TVTVRVRV,TV.TV.RVRV,CV.CV.CVCV
cavelo,kaʋelo,TVTVRV,TV.TV.RV,CV.CV.CV
caverno,kaʋeɾno,TVTVRRV,TV.TVR.RV,CV.CVC.CV
caxa,kaʃa,TVTV,TV.TV,CV.CV
cendê,sendeː,SVRTV,SVR.TV,CVC.CV
cento,sento,SVRTV,SVR.TV,CVC.CV
centa,senta,SVRTV,SVR.TV,CVC.CV
cents,sents,SVRTS,SVR.TS,CVC.CC
ceremonio,seɾemonio,SVRVRVRVV,SV.RVRV.RV.V,CV.CVCV.CV.V
certeza,seɾteza,SVRTVSV,SVR.TV.SV,CVC.CV.CV
certézè,seɾteːzeː,SVRTVSV,SVR.TV.SV,CVC.CV.CV
chabuco,t̠ʃabuko,TVTVTV,TV.TV.TV,CV.CV.CV
chabuca,t̠ʃabuka,TVTVTV,TV.TV.TV,CV.CV.CV
chalo,t̠ʃalo,TVRV,TV.RV,CV.CV
chan,t̠ʃan,TVR,TVR,CVC
chap,t̠ʃap,TVT,TV.T,CV.C
chápè,t̠ʃaːpeː,TVTV,TV.TV,CV.CV
chape,t̠ʃape,TVTV,TV.TV,CV.CV
chart,t̠ʃaɾt,TVRT,TVR.T,CVC.C
chela,t̠ʃela,TVRV,TV.RV,CV.CV
chéo,t̠ʃeːo,TVV,TV.V,CV.V
chéro,t̠ʃeːɾo,TVRV,TV.RV,CV.CV
chiero,t̠ʃieɾo,TVVRV,TV.V.RV,CV.V.CV
chiesto,t̠ʃiesto,TVVSTV,TV.VS.TV,CV.VC.CV
chisto,t̠ʃisto,TVSTV,TVS.TV,CVC.CV
chisto,t̠ʃisto,TVSTV,TVS.TV,CVC.CV
chiado,t̠ʃiado,TVVTV,TV.V.TV,CV.V.CV
cheadice,t̠ʃeadise,TVVTVSV,TV.V.TV.SV,CV.V.CV.CV
chediça,t̠ʃedisa,TVTVSV,TV.TV.SV,CV.CV.CV
chidiça,t̠ʃidisa,TVTVSV,TV.TV.SV,CV.CV.CV
chidice,t̠ʃidise,TVTVSV,TV.TV.SV,CV.CV.CV
chedice lingua,t̠ʃedise lingua,TVTVSV RVRTVV,TV.TV.SV RVR.TV.V,CV.CV.CV CVC.CV.V
china patàz,t̠ʃina pataːs,TVRV TVTVS,TV.RV TV.TVS,CV.CV CV.CVC
chinglà,t̠ʃinglaː,TVRTRV,TVR.TRV,CVC.CCV
chipi,t̠ʃipi,TVTV,TV.TV,CV.CV
chita,t̠ʃita,TVTV,TV.TV,CV.CV
chocarréa,t̠ʃokareːa,TVTVRVV,TV.TV.RV.V,CV.CV.CV.V
choqueria,t̠ʃokeɾia,TVTVRVV,TV.TV.RV.V,CV.CV.CV.V
chomà,t̠ʃomaː,TVRV,TV.RV,CV.CV
chóma,t̠ʃoːma,TVRV,TV.RV,CV.CV
chorrà,t̠ʃoraː,TVRV,TV.RV,CV.CV
churá,t̠ʃuɾaː,TVRV,TV.RV,CV.CV
chóve,t̠ʃoːʋe,TVTV,TV.TV,CV.CV
cristendade,kɾistendade,TRVSTVRTVTV,TRVS.TVR.TV.TV,CCVC.CVC.CV.CV
cristmas,kɾistmas,TRVSTRVS,TRVS.TRVS,CCVC.CCVC
chuchadas,t̠ʃut̠ʃadas,TVTVTVS,TV.TV.TVS,CV.CV.CVC
chuchado,t̠ʃut̠ʃado,TVTVTV,TV.TV.TV,CV.CV.CV
chulo,t̠ʃulo,TVRV,TV.RV,CV.CV
chumà,t̠ʃumaː,TVRV,TV.RV,CV.CV
chumaço,t̠ʃumaso,TVRVSV,TV.RV.SV,CV.CV.CV
chunambo,t̠ʃunambo,TVRVRTV,TV.RVR.TV,CV.CVC.CV
chusmo,t̠ʃuzmo,TVSRV,TVS.RV,CVC.CV
cinquo,sinkuo,SVRTVV,SVR.TV.V,CVC.CV.V
cinquè,sinkeː,SVRTV,SVR.TV,CVC.CV
cinquento,sinkento,SVRTVRTV,SVR.TVR.TV,CVC.CVC.CV
cintura,sintuɾa,SVRTVRV,SVR.TV.RV,CVC.CV.CV
cinturà,sintuɾaː,SVRTVRV,SVR.TV.RV,CVC.CV.CV
circumcisá,siɾkumsizaː,SVRTVRSVSV,SVR.TVR.SV.SV,CVC.CVC.CV.CV
circumciá,siɾkumsiaː,SVRTVRSVV,SVR.TVR.SV.V,CVC.CVC.CV.V
circumcido,siɾkumsido,SVRTVRSVTV,SVR.TVR.SV.TV,CVC.CVC.CV.CV
cizo,sizo,SVSV,SV.SV,CV.CV
cizomente,sizomente,SVSVRVRTV,SV.SV.RVR.TV,CV.CV.CVC.CV
clar,klaɾ,TRVR,TRVR,CCVC
clarmente,klaɾmente,TRVRRVRTV,TRVR.RVR.TV,CCVC.CVC.CV
cóber,koːbeɾ,TVTVR,TV.TVR,CV.CVC
cobiço,kobiso,TVTVSV,TV.TV.SV,CV.CV.CV
kófi,koːfi,TVTV,TV.TV,CV.CV
coidá,kojdaː,TVRTV,TVR.TV,CVC.CV
coidado,kojdado,TVRTVTV,TVR.TV.TV,CVC.CV.CV
çoità,sojtaː,SVRTV,SVR.TV,CVC.CV
coitado,kojtado,TVRTVTV,TVR.TV.TV,CVC.CV.CV
colleição,koleisaːo,TVRVGSVV,TV.RVG.SV.V,CV.CVV.CV.V
color,koloɾ,TVRVR,TV.RVR,CV.CVC
clor,kloɾ,TRVR,TRVR,CCVC
columno,kolumno,TVRVRRV,TV.RVR.RV,CV.CVC.CV
cóma,koːma,TVRV,TV.RV,CV.CV
comè,komeː,TVRV,TV.RV,CV.CV
combersan,kombeɾsan,TVRTVRSVR,TVR.TVR.SVR,CVC.CVC.CVC
começa,komesa,TVRVSV,TV.RV.SV,CV.CV.CV
comedi,komedi,TVRVTV,TV.RV.TV,CV.CV.CV
comédè,komeːdeː,TVRVTV,TV.RV.TV,CV.CV.CV
comera,komeɾa,TVRVRV,TV.RVRV,CV.CVCV
comêrè,komeːɾeː,TVRVRV,TV.RVRV,CV.CVCV
comero,komeɾo,TVRVRV,TV.RVRV,CV.CVCV
comeira,komeiɾa,TVRVGRV,TV.RVG.RV,CV.CVV.CV
coméria,komeːɾia,TVRVRVV,TV.RVRV.V,CV.CVCV.V
comers,komeɾs,TVRVRS,TV.RVRS,CV.CVCC
comfortable,komfoɾtable,TVRTVRTVTRV,TVR.TVR.TV.TRV,CVC.CVC.CV.CCV
comidá,komidaː,TVRVTV,TV.RV.TV,CV.CV.CV
comidação,komidasaːo,TVRVTVSVV,TV.RV.TV.SV.V,CV.CV.CV.CV.V
commettá,kometːaː,TVRVTV,TV.RV.TV,CV.CV.CV
comménda,komeːnda,TVRVRTV,TV.RVR.TV,CV.CVC.CV
comminhão,komiɲaːo,TVRVRVV,TV.RVRV.V,CV.CVCV.V
communigá,komunigaː,TVRVRVTV,TV.RVRV.TV,CV.CVCV.CV
companha,kompaɲa,TVRTVRV,TVR.TV.RV,CVC.CV.CV
compinha,kompiɲa,TVRTVRV,TVR.TV.RV,CVC.CV.CV
companhà,kompaɲaː,TVRTVRV,TVR.TV.RV,CVC.CV.CV
compinhà,kompiɲaː,TVRTVRV,TVR.TV.RV,CVC.CV.CV
companhamen to,kompaɲamen to,TVRTVRVRVR TV,TVR.TV.RVRVR TV,CVC.CV.CVCVC CV
companhimento,kompaɲimento,TVRTVRVRVRTV,TVR.TV.RVRVR.TV,CVC.CV.CVCVC.CV
compinhamento,kompiɲamento,TVRTVRVRVRTV,TVR.TV.RVRVR.TV,CVC.CV.CVCVC.CV
compinhador,kompiɲadoɾ,TVRTVRVTVR,TVR.TV.RV.TVR,CVC.CV.CV.CVC
companhério,kompaɲeːɾio,TVRTVRVRVV,TVR.TV.RVRV.V,CVC.CV.CVCV.V
compinheiro,kompiɲeiɾo,TVRTVRVGRV,TVR.TV.RVG.RV,CVC.CV.CVV.CV
compania,kompania,TVRTVRVV,TVR.TV.RV.V,CVC.CV.CV.V
competè,kompeteː,TVRTVTV,TVR.TV.TV,CVC.CV.CV
competá,kompetaː,TVRTVTV,TVR.TV.TV,CVC.CV.CV
complemento,komplemento,TVRTRVRVRTV,TVR.TRV.RVR.TV,CVC.CCV.CVC.CV
compridão,kompɾidaːo,TVRTRVTVV,TVR.TRV.TV.V,CVC.CCV.CV.V
comperdão,kompeɾdaːo,TVRTVRTVV,TVR.TVR.TV.V,CVC.CVC.CV.V
compramento,kompɾamento,TVRTRVRVRTV,TVR.TRV.RVR.TV,CVC.CCV.CVC.CV
comtodo,komtodo,TVRTVTV,TVR.TV.TV,CVC.CV.CV
con'cé,konəseː,TVRVSV,TV.RV.SV,CV.CV.CV
cóncert,koːnseɾt,TVRSVRT,TVR.SVR.T,CVC.CVC.C
concertá,konseɾtaː,TVRSVRTV,TVR.SVR.TV,CVC.CVC.CV
concérta,konseːɾta,TVRSVRTV,TVR.SVR.TV,CVC.CVC.CV
concià,konsiaː,TVRSVV,TVR.SV.V,CVC.CV.V
condiná,kondinaː,TVRTVRV,TVR.TV.RV,CVC.CV.CV
condinação,kondinasaːo,TVRTVRVSVV,TVR.TV.RV.SV.V,CVC.CV.CV.CV.V
confessão,konfesaːo,TVRTVSVV,TVR.TV.SV.V,CVC.CV.CV.V
confesso,konfeso,TVRTVSV,TVR.TV.SV,CVC.CV.CV
confiador,konfiadoɾ,TVRTVVTVR,TVR.TV.V.TVR,CVC.CV.V.CVC
confidença,konfidensa,TVRTVTVRSV,TVR.TV.TVR.SV,CVC.CV.CVC.CV
confina,konfina,TVRTVRV,TVR.TV.RV,CVC.CV.CV
conforma,konfoɾma,TVRTVRRV,TVR.TVR.RV,CVC.CVC.CV
confundá,konfundaː,TVRTVRTV,TVR.TVR.TV,CVC.CVC.CV
confusado,konfuzado,TVRTVSVTV,TVR.TV.SV.TV,CVC.CV.CV.CV
condusadoso,konduzadozo,TVRTVSVTVSV,TVR.TV.SV.TV.SV,CVC.CV.CV.CV.CV
consciancia,konsiansia,TVRSVVRSVV,TVR.SV.VR.SV.V,CVC.CV.VC.CV.V
conscencia,konsensia,TVRSVRSVV,TVR.SVR.SV.V,CVC.CVC.CV.V
consecrá,konsekɾaː,TVRSVTRV,TVR.SV.TRV,CVC.CV.CCV
consecração,konsekɾasaːo,TVRSVTRVSVV,TVR.SV.TRV.SV.V,CVC.CV.CCV.CV.V
conselà,konselaː,TVRSVRV,TVR.SV.RV,CVC.CV.CV
conselação,konselasaːo,TVRSVRVSVV,TVR.SV.RV.SV.V,CVC.CV.CV.CV.V
consalação,konsalasaːo,TVRSVRVSVV,TVR.SV.RV.SV.V,CVC.CV.CV.CV.V
conselador,konseladoɾ,TVRSVRVTVR,TVR.SV.RV.TVR,CVC.CV.CV.CVC
conselyo,konselʲo,TVRSVRV,TVR.SV.RV,CVC.CV.CV
conselharo,konseʎaɾo,TVRSVRVRV,TVR.SV.RVRV,CVC.CV.CVCV
conselhéro,konseʎeːɾo,TVRSVRVRV,TVR.SV.RVRV,CVC.CV.CVCV
conseleiro,konseleiɾo,TVRSVRVGRV,TVR.SV.RVG.RV,CVC.CV.CVV.CV
consente,konsente,TVRSVRTV,TVR.SVR.TV,CVC.CVC.CV
consequences,konsekenses,TVRSVTVRSVS,TVR.SV.TVR.SVS,CVC.CV.CVC.CVC
consistá,konsistaː,TVRSVSTV,TVR.SVS.TV,CVC.CVC.CV
constrangà,konstɾangaː,TVRSTRVRTV,TVRS.TRVR.TV,CVCC.CCVC.CV
constructado,konstɾuktado,TVRSTRVTTVTV,TVRS.TRV.T.TV.TV,CVCC.CCV.C.CV.CV
consuma,konsuma,TVRSVRV,TVR.SV.RV,CVC.CV.CV
conta papel,konta papel,TVRTV TVTVR,TVR.TV TV.TVR,CVC.CV CV.CVC
contendo,kontendo,TVRTVRTV,TVR.TVR.TV,CVC.CVC.CV
contentado,kontentado,TVRTVRTVTV,TVR.TVR.TV.TV,CVC.CVC.CV.CV
conter,konteɾ,TVRTVR,TVR.TVR,CVC.CVC
contino,kontino,TVRTVRV,TVR.TV.RV,CVC.CV.CV
continual,kontinual,TVRTVRVVR,TVR.TV.RV.VR,CVC.CV.CV.VC
continualmente,kontinualmente,TVRTVRVVRRVRTV,TVR.TV.RV.VR.RVR.TV,CVC.CV.CV.VC.CVC.CV
contradizão,kontɾadizaːo,TVRTRVTVSVV,TVR.TRV.TV.SV.V,CVC.CCV.CV.CV.V
contradiza,kontɾadiza,TVRTRVTVSV,TVR.TRV.TV.SV,CVC.CCV.CV.CV
contrairo,kontɾaiɾo,TVRTRVVRV,TVR.TRV.V.RV,CVC.CCV.V.CV
contriá,kontɾiaː,TVRTRVV,TVR.TRV.V,CVC.CCV.V
contriação,kontɾiasaːo,TVRTRVVSVV,TVR.TRV.V.SV.V,CVC.CCV.V.CV.V
conversão,konʋeɾsaːo,TVRTVRSVV,TVR.TVR.SV.V,CVC.CVC.CV.V
convertà,konʋeɾtaː,TVRTVRTV,TVR.TVR.TV,CVC.CVC.CV
convertação,konʋeɾtasaːo,TVRTVRTVSVV,TVR.TVR.TV.SV.V,CVC.CVC.CV.CV.V
convidação,konʋidasaːo,TVRTVTVSVV,TVR.TV.TV.SV.V,CVC.CV.CV.CV.V
convinçà,konʋinsaː,TVRTVRSV,TVR.TVR.SV,CVC.CVC.CV
copa,kopa,TVTV,TV.TV,CV.CV
cope,kope,TVTV,TV.TV,CV.CV
copa ti,kopa ti,TVTV TV,TV.TV TV,CV.CV CV
copra,kopɾa,TVTRV,TV.TRV,CV.CCV
copy,kopi,TVTV,TV.TV,CV.CV
coragè,koɾad̠ʒeː,TVRVTV,TV.RV.TV,CV.CV.CV
corajo,koɾad̠ʒo,TVRVTV,TV.RV.TV,CV.CV.CV
courajo,kouɾad̠ʒo,TVGRVTV,TVG.RV.TV,CVV.CV.CV
coragemente,koɾad̠ʒemente,TVRVTVRVRTV,TV.RV.TV.RVR.TV,CV.CV.CV.CVC.CV
cordà,koɾdaː,TVRTV,TVR.TV,CVC.CV
cordià,koɾdiaː,TVRTVV,TVR.TV.V,CVC.CV.V
cordè,koɾdeː,TVRTV,TVR.TV,CVC.CV
cores,koɾes,TVRVS,TV.RVS,CV.CVC
coresmo,koɾezmo,TVRVSRV,TV.RVS.RV,CV.CVC.CV
corovà,koɾoʋaː,TVRVTV,TV.RV.TV,CV.CV.CV
corovè,koɾoʋeː,TVRVTV,TV.RV.TV,CV.CV.CV
correctà,korektaː,TVRVTTV,TV.RV.T.TV,CV.CV.C.CV
corrigá,korigaː,TVRVTV,TV.RV.TV,CV.CV.CV
correição,koreisaːo,TVRVGSVV,TV.RVG.SV.V,CV.CVV.CV.V
correntè,korenteː,TVRVRTV,TV.RVR.TV,CV.CVC.CV
currento,kurento,TVRVRTV,TV.RVR.TV,CV.CVC.CV
corruptido,koruptido,TVRVTTVTV,TV.RV.T.TV.TV,CV.CV.C.CV.CV
côrto,koːɾto,TVRTV,TVR.TV,CVC.CV
cósse,koːse,TVSV,TV.SV,CV.CV
cossià,kosiaː,TVSVV,TV.SV.V,CV.CV.V
cossér,koseːɾ,TVSVR,TV.SVR,CV.CVC
costa,kosta,TVSTV,TVS.TV,CVC.CV
couraço,kouɾaso,TVGRVSV,TVG.RV.SV,CVV.CV.CV
kôrt,koːɾt,TVRT,TVR.T,CVC.C
cóusus,koːuzus,TVVSVS,TV.V.SVS,CV.V.CVC
cousès,kouzeːs,TVGSVS,TVG.SVS,CVV.CVC
cóver,koːʋeɾ,TVTVR,TV.TVR,CV.CVC
covodo,koʋodo,TVTVTV,TV.TV.TV,CV.CV.CV
covido,koʋido,TVTVTV,TV.TV.TV,CV.CV.CV
creditor,kɾeditoɾ,TRVTVTVR,TRV.TV.TVR,CCV.CV.CVC
crem,kɾem,TRVR,TRVR,CCVC
crescentà,kɾesentaː,TRVSVRTV,TRV.SVR.TV,CCV.CVC.CV
criscentá,kɾisentaː,TRVSVRTV,TRV.SVR.TV,CCV.CVC.CV
criançè,kɾianseː,TRVVRSV,TRV.VR.SV,CCV.VC.CV
criença,kɾiensa,TRVVRSV,TRV.VR.SV,CCV.VC.CV
criminal,kɾiminal,TRVRVRVR,TRV.RVRVR,CCV.CVCVC
criscé,kɾiseː,TRVSV,TRV.SV,CCV.CV
crisé,kɾizeː,TRVSV,TRV.SV,CCV.CV
crucifigà,kɾusifigaː,TRVSVTVTV,TRV.SV.TV.TV,CCV.CV.CV.CV
cruveldade,kɾuʋeldade,TRVTVRTVTV,TRV.TVR.TV.TV,CCV.CVC.CV.CV
cubicè,kubiseː,TVTVSV,TV.TV.SV,CV.CV.CV
cubiço,kubiso,TVTVSV,TV.TV.SV,CV.CV.CV
kuda,kuda,TVTV,TV.TV,CV.CV
cuidade,kuidade,TVVTVTV,TV.V.TV.TV,CV.V.CV.CV
cuidação,kuidasaːo,TVVTVSVV,TV.V.TV.SV.V,CV.V.CV.CV.V
cuidança,kuidansa,TVVTVRSV,TV.V.TVR.SV,CV.V.CVC.CV
cuidancè,kuidanseː,TVVTVRSV,TV.V.TVR.SV,CV.V.CVC.CV
cuidadomente,kuidadomente,TVVTVTVRVRTV,TV.V.TV.TV.RVR.TV,CV.V.CV.CV.CVC.CV
cuidademente,kuidademente,TVVTVTVRVRTV,TV.V.TV.TV.RVR.TV,CV.V.CV.CV.CVC.CV
cujéra,kud̠ʒeːɾa,TVTVRV,TV.TV.RV,CV.CV.CV
cale,kale,TVRV,TV.RV,CV.CV
cúli,kuːli,TVRV,TV.RV,CV.CV
culpador,kulpadoɾ,TVRTVTVR,TVR.TV.TVR,CVC.CV.CVC
cum,kum,TVR,TVR,CVC
cumaso,kumazo,TVRVSV,TV.RV.SV,CV.CV.CV
cum'sá,kuməsaː,TVRVSV,TV.RV.SV,CV.CV.CV
cupá,kupaː,TVTV,TV.TV,CV.CV
cupação,kupasaːo,TVTVSVV,TV.TV.SV.V,CV.CV.CV.V
curá,kuɾaː,TVRV,TV.RV,CV.CV
cural,kuɾal,TVRVR,TV.RVR,CV.CVC
curavè,kuɾaʋeː,TVRVTV,TV.RV.TV,CV.CV.CV
curtezia,kuɾtezia,TVRTVSVV,TVR.TV.SV.V,CVC.CV.CV.V
cusá,kuzaː,TVSV,TV.SV,CV.CV
cúsa,kuːza,TVSV,TV.SV,CV.CV
cúspi,kuːspi,TVSTV,TVS.TV,CVC.CV
cóspi,koːspi,TVSTV,TVS.TV,CVC.CV
custúma,kustuːma,TVSTVRV,TVS.TV.RV,CVC.CV.CV
custumo,kustumo,TVSTVRV,TVS.TV.RV,CVC.CV.CV
customà,kustomaː,TVSTVRV,TVS.TV.RV,CVC.CV.CV
dace,dase,TVSV,TV.SV,CV.CV
dàlhi,daːʎi,TVRV,TV.RV,CV.CV
dàlyi,daːlʲi,TVRV,TV.RV,CV.CV
dàhi,daːi,TVV,TV.V,CV.V
dàji,daːd̠ʒi,TVTV,TV.TV,CV.CV
dádimo,daːdimo,TVTVRV,TV.TV.RV,CV.CV.CV
danà,danaː,TVRV,TV.RV,CV.CV
danação,danasaːo,TVRVSVV,TV.RV.SV.V,CV.CV.CV.V
danaficà,danafikaː,TVRVTVTV,TV.RV.TV.TV,CV.CV.CV.CV
danaficação,danafikasaːo,TVRVTVTVSVV,TV.RV.TV.TV.SV.V,CV.CV.CV.CV.CV.V
dandy,dandi,TVRTV,TVR.TV,CVC.CV
darté,daɾteː,TVRTV,TVR.TV,CVC.CV
derté,deɾteː,TVRTV,TVR.TV,CVC.CV
dar tomars,daɾ tomaɾs,TVR TVRVRS,TVR TV.RVRS,CVC CV.CVCC
decémber,deseːmbeɾ,TVSVRTVR,TV.SVR.TVR,CV.CVC.CVC
de ceos visitador,de seos ʋizitadoɾ,TV SVVS TVSVTVTVR,TV SV.VS TV.SV.TV.TVR,CV CV.VC CV.CV.CV.CVC
dè,deː,TV,TV,CV
dedia,dedia,TVTVV,TV.TV.V,CV.CV.V
dek,dek,TVT,TV.T,CV.C
declarão,deklaɾaːo,TVTRVRVV,TV.TRV.RV.V,CV.CCV.CV.V
deféncia,defeːnsia,TVTVRSVV,TV.TVR.SV.V,CV.CVC.CV.V
defencè,defenseː,TVTVRSV,TV.TVR.SV,CV.CVC.CV
deido,deido,TVGTV,TVG.TV,CVV.CV
deixa,deiʃa,TVGTV,TVG.TV,CVV.CV
dessa,desa,TVSV,TV.SV,CV.CV
demóni,demoːni,TVRVRV,TV.RVRV,CV.CVCV
denheiro,deɲeiɾo,TVRVGRV,TV.RVG.RV,CV.CVV.CV
déntor,deːntoɾ,TVRTVR,TVR.TVR,CVC.CVC
dentro voz,dentɾo ʋos,TVRTRV TVS,TVR.TRV TVS,CVC.CCV CVC
deos bénza,deos beːnza,TVVS TVRSV,TV.VS TVR.SV,CV.VC CVC.CV
dér,deːɾ,TVR,TVR,CVC
deremá,deɾemaː,TVRVRV,TV.RVRV,CV.CVCV
desasparà,dezaspaɾaː,TVSVSTVRV,TV.SVS.TV.RV,CV.CVC.CV.CV
descargà,deskaɾgaː,TVSTVRTV,TVS.TVR.TV,CVC.CVC.CV
desci,desi,TVSV,TV.SV,CV.CV
desclorà,deskloɾaː,TVSTRVRV,TVS.TRV.RV,CVC.CCV.CV
descompetido,deskompetido,TVSTVRTVTVTV,TVS.TVR.TV.TV.TV,CVC.CVC.CV.CV.CV
descompetidomente,deskompetidomente,TVSTVRTVTVTVRVRTV,TVS.TVR.TV.TV.TV.RVR.TV,CVC.CVC.CV.CV.CV.CVC.CV
descontentado,deskontentado,TVSTVRTVRTVTV,TVS.TVR.TVR.TV.TV,CVC.CVC.CVC.CV.CV
descuidação,deskuidasaːo,TVSTVVTVSVV,TVS.TV.V.TV.SV.V,CVC.CV.V.CV.CV.V
descuidancè,deskuidanseː,TVSTVVTVRSV,TVS.TV.V.TVR.SV,CVC.CV.V.CVC.CV
deseijo,dezeid̠ʒo,TVSVGTV,TV.SVG.TV,CV.CVV.CV
deselho,dezeʎo,TVSVRV,TV.SV.RV,CV.CV.CV
deseijà,dezeid̠ʒaː,TVSVGTV,TV.SVG.TV,CV.CVV.CV
desembarçan,dezembaɾsan,TVSVRTVRSVR,TV.SVR.TVR.SVR,CV.CVC.CVC.CVC
desempàr,dezempaːɾ,TVSVRTVR,TV.SVR.TVR,CV.CVC.CVC
desemp'raçáo,dezempəɾasaːo,TVSVRTVRVSVV,TV.SVR.TV.RV.SV.V,CV.CVC.CV.CV.CV.V
desempará,dezempaɾaː,TVSVRTVRV,TV.SVR.TV.RV,CV.CVC.CV.CV
desemprà,dezempɾaː,TVSVRTRV,TV.SVR.TRV,CV.CVC.CCV
desfamá,desfamaː,TVSTVRV,TVS.TV.RV,CVC.CV.CV
desfazedo,desfazedo,TVSTVSVTV,TVS.TV.SV.TV,CVC.CV.CV.CV
desfazido,desfazido,TVSTVSVTV,TVS.TV.SV.TV,CVC.CV.CV.CV
desfruitoso,desfɾuitozo,TVSTRVVTVSV,TVS.TRV.V.TV.SV,CVC.CCV.V.CV.CV
desgardecé,dezgaɾdeseː,TVSTVRTVSV,TVS.TVR.TV.SV,CVC.CVC.CV.CV
desgradecimento,dezgɾadesimento,TVSTRVTVSVRVRTV,TVS.TRV.TV.SV.RVR.TV,CVC.CCV.CV.CV.CVC.CV
desgosto vida,dezgosto ʋida,TVSTVSTV TVTV,TVS.TVS.TV TV.TV,CVC.CVC.CV CV.CV
deshonestade,deʃonestade,TVTVRVSTVTV,TV.TV.RVS.TV.TV,CV.CV.CVC.CV.CV
desià,deziaː,TVSVV,TV.SV.V,CV.CV.V
disià,diziaː,TVSVV,TV.SV.V,CV.CV.V
diziá,diziaː,TVSVV,TV.SV.V,CV.CV.V
desio,dezio,TVSVV,TV.SV.V,CV.CV.V
disio,dizio,TVSVV,TV.SV.V,CV.CV.V
desimportá,dezimpoɾtaː,TVSVRTVRTV,TV.SVR.TVR.TV,CV.CVC.CVC.CV
desemportá,dezempoɾtaː,TVSVRTVRTV,TV.SVR.TVR.TV,CV.CVC.CVC.CV
desemportado,dezempoɾtado,TVSVRTVRTVTV,TV.SVR.TVR.TV.TV,CV.CVC.CVC.CV.CV
desemportança,dezempoɾtansa,TVSVRTVRTVRSV,TV.SVR.TVR.TVR.SV,CV.CVC.CVC.CVC.CV
desemportação,dezempoɾtasaːo,TVSVRTVRTVSVV,TV.SVR.TVR.TV.SV.V,CV.CVC.CVC.CV.CV.V
deslimpo,dezlimpo,TVSRVRTV,TVS.RVR.TV,CVC.CVC.CV
